Time,%CPU(global),%CPU(user),%CPU(system)
18:47:58,2.0,0.7,0.7
18:48:00,0.5,0.1,0.4
18:48:02,0.0,0.0,0.0
18:48:04,0.09999999999999432,0.0,0.0
18:48:06,0.09999999999999432,0.0,0.1
18:48:08,0.0,0.0,0.0
18:48:10,0.0,0.0,0.0
18:48:13,0.0,0.0,0.0
18:48:15,0.09999999999999432,0.0,0.1
18:48:17,0.0,0.0,0.0
18:48:19,0.09999999999999432,0.1,0.0
18:48:21,0.0,0.0,0.0
18:48:23,0.0,0.0,0.0
18:48:25,0.09999999999999432,0.0,0.1
18:48:27,0.0,0.0,0.0
18:48:29,0.0,0.0,0.0
18:48:31,0.0,0.0,0.0
18:48:33,0.0,0.0,0.0
18:48:35,0.09999999999999432,0.0,0.1
18:48:37,0.0,0.0,0.0
18:48:39,0.0,0.0,0.0
18:48:41,0.0,0.0,0.0
18:48:43,0.0,0.0,0.0
18:48:45,0.0,0.0,0.0
18:48:47,0.0,0.0,0.0
18:48:49,0.0,0.0,0.0
18:48:51,0.09999999999999432,0.0,0.1
18:48:53,0.0,0.0,0.0
18:48:55,0.09999999999999432,0.1,0.0
18:48:57,0.0,0.0,0.0
18:48:59,0.0,0.0,0.0
18:49:01,0.4000000000000057,0.0,0.4
18:49:03,0.0,0.0,0.0
18:49:05,0.0,0.0,0.0
18:49:07,0.0,0.0,0.0
18:49:09,0.0,0.0,0.0
18:49:11,0.09999999999999432,0.1,0.0
18:49:13,0.0,0.0,0.0
18:49:15,0.0,0.0,0.0
18:49:17,0.0,0.0,0.0
18:49:19,0.0,0.0,0.0
18:49:21,0.0,0.0,0.0
18:49:23,0.09999999999999432,0.1,0.0
18:49:25,0.0,0.0,0.0
18:49:27,0.09999999999999432,0.0,0.1
18:49:30,0.0,0.0,0.0
18:49:32,0.0,0.0,0.0
18:49:34,0.09999999999999432,0.1,0.0
18:49:36,0.0,0.0,0.0
18:49:38,0.0,0.0,0.0
18:49:40,0.0,0.0,0.0
18:49:42,0.0,0.0,0.0
18:49:44,0.0,0.0,0.0
18:49:46,0.09999999999999432,0.1,0.0
18:49:48,0.0,0.0,0.0
18:49:50,0.0,0.0,0.0
18:49:52,0.0,0.0,0.0
18:49:54,0.09999999999999432,0.0,0.1
18:49:56,0.09999999999999432,0.0,0.0
18:49:58,0.0,0.0,0.0
18:50:00,0.5,0.1,0.4
18:50:02,0.0,0.0,0.0
18:50:04,0.0,0.0,0.0
18:50:06,0.0,0.0,0.0
18:50:08,0.0,0.0,0.0
18:50:10,0.0,0.0,0.0
18:50:12,0.0,0.0,0.0
18:50:14,0.0,0.0,0.0
18:50:16,0.0,0.0,0.0
18:50:18,0.0,0.0,0.0
18:50:20,0.0,0.0,0.0
18:50:22,0.0,0.0,0.0
