Timestamp,% global CPU,Cpacidad de memoria utilizada,% Memoria utilizada 
18:19:59,3.1,1491328,36.9307
18:20:01,3.1,1490948,36.9213
18:20:04,3.1,1491288,36.9297
18:20:06,3.1,1491296,36.9299
18:20:08,3.1,1490828,36.9184
18:20:10,3.1,1490948,36.9213
18:20:12,3.1,1491080,36.9246
18:20:14,3.1,1491560,36.9365
18:20:16,3.0,1491312,36.9303
18:20:18,3.0,1491196,36.9275
18:20:20,3.0,1491072,36.9244
18:20:22,3.0,1491080,36.9246
18:20:24,3.0,1490964,36.9217
18:20:27,3.0,1491320,36.9305
18:20:29,3.0,1491320,36.9305
18:20:31,3.0,1491188,36.9273
18:20:33,3.0,1491040,36.9236
18:20:35,3.0,1502796,37.2147
18:20:37,3.0,1507476,37.3306
18:20:39,3.0,1504044,37.2456
18:20:41,3.0,1504284,37.2516
18:20:43,3.0,1504756,37.2633
18:20:45,3.0,1504912,37.2671
18:20:47,3.0,1504888,37.2665
18:20:49,2.9,1504784,37.2640
18:20:51,2.9,1504916,37.2672
18:20:53,2.9,1504684,37.2615
18:20:55,2.9,1504552,37.2582
18:20:58,2.9,1504948,37.2680
18:21:00,2.9,1505004,37.2694
18:21:02,2.9,1505268,37.2759
18:21:04,2.9,1505524,37.2823
18:21:06,2.9,1505036,37.2702
18:21:08,2.9,1505052,37.2706
18:21:10,2.8,1505200,37.2743
18:21:13,2.8,1505340,37.2777
18:21:15,2.8,1504976,37.2687
18:21:17,2.8,1505176,37.2737
18:21:19,2.8,1505168,37.2735
18:21:21,2.8,1504904,37.2669
18:21:23,2.8,1504912,37.2671
18:21:25,2.8,1504904,37.2669
18:21:27,2.8,1505036,37.2702
18:21:29,2.8,1505160,37.2733
18:21:31,2.8,1504980,37.2688
18:21:33,2.8,1504980,37.2688
18:21:35,2.7,1504972,37.2686
18:21:38,2.7,1504864,37.2659
18:21:40,2.7,1504980,37.2688
18:21:42,2.7,1505252,37.2755
18:21:44,2.7,1505144,37.2729
18:21:46,2.7,1505540,37.2827
18:21:48,2.7,1505424,37.2798
18:21:50,2.7,1505556,37.2831
18:21:52,2.7,1505564,37.2833
18:21:54,2.7,1505712,37.2869
18:21:56,2.7,1505736,37.2875
18:21:58,2.7,1505620,37.2847
18:22:00,2.6,1505612,37.2845
18:22:02,2.6,1505628,37.2849
18:22:04,2.6,1505628,37.2849
18:22:07,2.6,1505916,37.2920
18:22:09,2.6,1505412,37.2795
18:22:11,2.6,1505512,37.2820
18:22:13,2.6,1505780,37.2886
18:22:15,2.6,1505664,37.2857
18:22:17,2.6,1505540,37.2827
18:22:19,2.6,1505588,37.2839
18:22:21,2.6,1505836,37.2900
18:22:23,2.6,1505480,37.2812
18:22:25,2.6,1505636,37.2850
18:22:27,2.5,1505760,37.2881
18:22:30,2.5,1505776,37.2885
18:22:32,2.5,1505792,37.2889
18:22:34,2.5,1505808,37.2893
18:22:36,2.5,1505824,37.2897
18:22:38,2.5,1505600,37.2842
18:22:40,2.5,1505624,37.2848
18:22:42,2.5,1505648,37.2853
18:22:44,2.5,1505624,37.2848
18:22:46,2.5,1505600,37.2842
18:22:48,2.5,1505840,37.2901
18:22:50,2.5,1505664,37.2857
18:22:52,2.5,1505408,37.2794
18:22:54,2.5,1505524,37.2823
18:22:57,2.4,1505284,37.2763
18:22:59,2.4,1505400,37.2792
18:23:01,2.4,1505368,37.2784
18:23:03,2.4,1505552,37.2830
18:23:05,2.4,1505800,37.2891
18:23:07,2.4,1505420,37.2797
18:23:09,2.4,1505428,37.2799
18:23:11,2.4,1505528,37.2824
18:23:13,2.4,1505272,37.2760
18:23:15,2.4,1505528,37.2824
18:23:17,2.4,1505660,37.2856
18:23:20,2.4,1505412,37.2795
18:23:22,2.4,1505296,37.2766
18:23:24,2.4,1505164,37.2734
18:23:26,2.4,1505304,37.2768
18:23:28,2.4,1505560,37.2832
18:23:30,2.3,1505452,37.2805
18:23:32,2.3,1505576,37.2836
18:23:35,2.3,1505484,37.2813
18:23:37,2.3,1505492,37.2815
18:23:39,2.3,1505384,37.2788
